well,BF,GFP,RFP
A01,CycT1_YFP_,CycT1,CycT1
A02,CycT1_YFP_,CycT1,Ddx3x
A03,CycT1_YFP_,CycT1,FUS
A04,CycT1_YFP_,CycT1,GATA3
A05,CycT1_YFP_,CycT1,G3BP1
A06,CycT1_YFP_,CycT1,hnRNPA1
A07,CycT1_YFP_,CycT1,HP1a
A08,CycT1_YFP_,CycT1,HspB8
A09,CycT1_YFP_,CycT1,Nephrin
A10,CycT1_YFP_,CycT1,NPM1
A11,CycT1_YFP_,CycT1,RBM14
A12,CycT1_YFP_,CycT1,Syn1
A13,CycT1_YFP_,CycT1,TAF15
A14,CycT1_YFP_,CycT1,TDP43
A15,CycT1_YFP_,CycT1,Valency
A16,CycT1_YFP_,CycT1,Ddx4
A17,CycT1_YFP_,CycT1,DYRK3
A18,CycT1_YFP_,CycT1,Era
A19,CycT1_YFP_,CycT1,NUP98
A20,CycT1_YFP_,CycT1,NUP98_trunc
A21,CycT1_YFP_,CycT1,UBQ2
A22,CycT1_YFP_,CycT1,Syn2
A23,BLANK,BLANK,BLANK
A24,BLANK,BLANK,BLANK
B01,Ddx3x_YFP_,Ddx3x,CycT1
B02,Ddx3x_YFP_,Ddx3x,Ddx3x
B03,Ddx3x_YFP_,Ddx3x,FUS
B04,Ddx3x_YFP_,Ddx3x,GATA3
B05,Ddx3x_YFP_,Ddx3x,G3BP1
B06,Ddx3x_YFP_,Ddx3x,hnRNPA1
B07,Ddx3x_YFP_,Ddx3x,HP1a
B08,Ddx3x_YFP_,Ddx3x,HspB8
B09,Ddx3x_YFP_,Ddx3x,Nephrin
B10,Ddx3x_YFP_,Ddx3x,NPM1
B11,Ddx3x_YFP_,Ddx3x,RBM14
B12,Ddx3x_YFP_,Ddx3x,Syn1
B13,Ddx3x_YFP_,Ddx3x,TAF15
B14,Ddx3x_YFP_,Ddx3x,TDP43
B15,Ddx3x_YFP_,Ddx3x,Valency
B16,Ddx3x_YFP_,Ddx3x,Ddx4
B17,Ddx3x_YFP_,Ddx3x,DYRK3
B18,Ddx3x_YFP_,Ddx3x,Era
B19,Ddx3x_YFP_,Ddx3x,NUP98
B20,Ddx3x_YFP_,Ddx3x,NUP98_trunc
B21,Ddx3x_YFP_,Ddx3x,UBQ2
B22,Ddx3x_YFP_,Ddx3x,Syn2
B23,BLANK,BLANK,BLANK
B24,BLANK,BLANK,BLANK
C01,FUS_YFP_,FUS,CycT1
C02,FUS_YFP_,FUS,Ddx3x
C03,FUS_YFP_,FUS,FUS
C04,FUS_YFP_,FUS,GATA3
C05,FUS_YFP_,FUS,G3BP1
C06,FUS_YFP_,FUS,hnRNPA1
C07,FUS_YFP_,FUS,HP1a
C08,FUS_YFP_,FUS,HspB8
C09,FUS_YFP_,FUS,Nephrin
C10,FUS_YFP_,FUS,NPM1
C11,FUS_YFP_,FUS,RBM14
C12,FUS_YFP_,FUS,Syn1
C13,FUS_YFP_,FUS,TAF15
C14,FUS_YFP_,FUS,TDP43
C15,FUS_YFP_,FUS,Valency
C16,FUS_YFP_,FUS,Ddx4
C17,FUS_YFP_,FUS,DYRK3
C18,FUS_YFP_,FUS,Era
C19,FUS_YFP_,FUS,NUP98
C20,FUS_YFP_,FUS,NUP98_trunc
C21,FUS_YFP_,FUS,UBQ2
C22,FUS_YFP_,FUS,Syn2
C23,BLANK,BLANK,BLANK
C24,BLANK,BLANK,BLANK
D01,GATA3_YFP_,GATA3,CycT1
D02,GATA3_YFP_,GATA3,Ddx3x
D03,GATA3_YFP_,GATA3,FUS
D04,GATA3_YFP_,GATA3,GATA3
D05,GATA3_YFP_,GATA3,G3BP1
D06,GATA3_YFP_,GATA3,hnRNPA1
D07,GATA3_YFP_,GATA3,HP1a
D08,GATA3_YFP_,GATA3,HspB8
