well,BF,GFP,RFP,BFP
A01,BLANK,BLANK,BLANK,BLANK
A02,BLANK,BLANK,BLANK,BLANK
A03,BLANK,BLANK,BLANK,BLANK
A04,BLANK,BLANK,BLANK,BLANK
A05,BLANK,BLANK,BLANK,BLANK
A06,BLANK,BLANK,BLANK,BLANK
A07,BLANK,BLANK,BLANK,BLANK
A08,BLANK,BLANK,BLANK,BLANK
A09,BLANK,BLANK,BLANK,BLANK
A10,BLANK,BLANK,BLANK,BLANK
A11,BLANK,BLANK,BLANK,BLANK
A12,BLANK,BLANK,BLANK,BLANK
A13,BLANK,BLANK,BLANK,BLANK
A14,BLANK,BLANK,BLANK,BLANK
A15,BLANK,BLANK,BLANK,BLANK
A16,BLANK,BLANK,BLANK,BLANK
A17,BLANK,BLANK,BLANK,BLANK
A18,BLANK,BLANK,BLANK,BLANK
A19,BLANK,BLANK,BLANK,BLANK
A20,BLANK,BLANK,BLANK,BLANK
A21,BLANK,BLANK,BLANK,BLANK
A22,BLANK,BLANK,BLANK,BLANK
A23,BLANK,BLANK,BLANK,BLANK
A24,BLANK,BLANK,BLANK,BLANK
B01,BLANK,BLANK,BLANK,BLANK
B02,BLANK,BLANK,BLANK,BLANK
B03,TDP43_WT_FUS,TDP43_WT,FUS,BLANK
B04,BLANK,BLANK,BLANK,BLANK
B05,BLANK,BLANK,BLANK,BLANK
B06,TDP43_WT_hnRNPA1,TDP43_WT,hnRNPA1,BLANK
B07,BLANK,BLANK,BLANK,BLANK
B08,TDP43_WT_HspB8,TDP43_WT,HspB8,BLANK
B09,BLANK,BLANK,BLANK,BLANK
B10,BLANK,BLANK,BLANK,BLANK
B11,TDP43_WT_RBM14,TDP43_WT,RBM14,BLANK
B12,BLANK,BLANK,BLANK,BLANK
B13,TDP43_WT_TAF15,TDP43_WT,TAF15,BLANK
B14,TDP43_WT_TDP43,TDP43_WT,TDP43,BLANK
B15,TDP43_WT_ValencyControl,TDP43_WT,Valency,BLANK
B16,TDP43_WT_Ddx4,TDP43_WT,Ddx4,BLANK
B17,TDP43_WT_DYRK3,TDP43_WT,DYRK3,BLANK
B18,TDP43_WT_ER_a,TDP43_WT,ER_a,BLANK
B19,BLANK,BLANK,BLANK,BLANK
B20,BLANK,BLANK,BLANK,BLANK
B21,TDP43_WT_UBQ2,TDP43_WT,UBQ2,BLANK
B22,BLANK,BLANK,BLANK,BLANK
B23,BLANK,BLANK,BLANK,BLANK
B24,BLANK,BLANK,BLANK,BLANK
C01,BLANK,BLANK,BLANK,BLANK
C02,BLANK,BLANK,BLANK,BLANK
C03,BLANK,BLANK,BLANK,BLANK
C04,BLANK,BLANK,BLANK,BLANK
C05,BLANK,BLANK,BLANK,BLANK
C06,BLANK,BLANK,BLANK,BLANK
C07,BLANK,BLANK,BLANK,BLANK
C08,BLANK,BLANK,BLANK,BLANK
C09,BLANK,BLANK,BLANK,BLANK
C10,BLANK,BLANK,BLANK,BLANK
C11,BLANK,BLANK,BLANK,BLANK
C12,BLANK,BLANK,BLANK,BLANK
C13,BLANK,BLANK,BLANK,BLANK
C14,BLANK,BLANK,BLANK,BLANK
C15,BLANK,BLANK,BLANK,BLANK
C16,BLANK,BLANK,BLANK,BLANK
C17,BLANK,BLANK,BLANK,BLANK
C18,BLANK,BLANK,BLANK,BLANK
C19,BLANK,BLANK,BLANK,BLANK
C20,BLANK,BLANK,BLANK,BLANK
C21,BLANK,BLANK,BLANK,BLANK
C22,BLANK,BLANK,BLANK,BLANK
C23,BLANK,BLANK,BLANK,BLANK
C24,BLANK,BLANK,BLANK,BLANK
D01,BLANK,BLANK,BLANK,BLANK
D02,BLANK,BLANK,BLANK,BLANK
D03,BLANK,BLANK,BLANK,BLANK
D04,BLANK,BLANK,BLANK,BLANK
D05,BLANK,BLANK,BLANK,BLANK
D06,BLANK,BLANK,BLANK,BLANK
D07,BLANK,BLANK,BLANK,BLANK
D08,BLANK,BLANK,BLANK,BLANK
D09,BLANK,BLANK,BLANK,BLANK
D10,BLANK,BLANK,BLANK,BLANK
D11,BLANK,BLANK,BLANK,BLANK
D12,BLANK,BLANK,BLANK,BLANK
D13,BLANK,BLANK,BLANK,BLANK
D14,BLANK,BLANK,BLANK,BLANK
D15,BLANK,BLANK,BLANK,BLANK
D16,BLANK,BLANK,BLANK,BLANK
D17,BLANK,BLANK,BLANK,BLANK
D18,BLANK,BLANK,BLANK,BLANK
D19,BLANK,BLANK,BLANK,BLANK
D20,BLANK,BLANK,BLANK,BLANK
D21,BLANK,BLANK,BLANK,BLANK
D22,BLANK,BLANK,BLANK,BLANK
D23,BLANK,BLANK,BLANK,BLANK
D24,BLANK,BLANK,BLANK,BLANK
E01,BLANK,BLANK,BLANK,BLANK
E02,BLANK,BLANK,BLANK,BLANK
E03,TDP43_320_330_FUS,TDP43_320_330,FUS,BLANK
E04,BLANK,BLANK,BLANK,BLANK
E05,BLANK,BLANK,BLANK,BLANK
E06,TDP43_320_330_hnRNPA1,TDP43_320_330,hnRNPA1,BLANK
E07,BLANK,BLANK,BLANK,BLANK
E08,TDP43_320_330_hspB8,TDP43_320_330,HspB8,BLANK
E09,BLANK,BLANK,BLANK,BLANK
E10,BLANK,BLANK,BLANK,BLANK
E11,TDP43_320_330_RBM14,TDP43_320_330,RBM14,BLANK
E12,BLANK,BLANK,BLANK,BLANK
E13,TDP43_320_330_TAF15,TDP43_320_330,TAF15,BLANK
E14,TDP43_320_330_TDP43,TDP43_320_330,TDP43,BLANK
E15,TDP43_320_330_ValencyControl,TDP43_320_330,Valency,BLANK
E16,TDP43_320_330_Ddx4,TDP43_320_330,Ddx4,BLANK
