well,BF,BFP,RFP
A01,Pab1_DDX4,Pab1,DDX4
A02,Pab1_DYRK3,Pab1,DYRK3
A03,Pab1_ER-alpha,Pab1,ER-alpha
A04,Pab1_FUS,Pab1,FUS
A05,Pab1_HNRNPA1,Pab1,HNRNPA1
A06,Pab1_HSPB8,Pab1,HSPB8
A07,Pab1_RBM14,Pab1,RBM14
A08,Pab1_TAF15,Pab1,TAF15
A09,Pab1_TDP43,Pab1,TDP43
A10,Pab1_UBQ2,Pab1,UBQ2
B01,Pab1_DDX4,Pab1,DDX4
B02,Pab1_DYRK3,Pab1,DYRK3
B03,Pab1_ER-alpha,Pab1,ER-alpha
B04,Pab1_FUS,Pab1,FUS
B05,Pab1_HNRNPA1,Pab1,HNRNPA1
B06,Pab1_HSPB8,Pab1,HSPB8
B07,Pab1_RBM14,Pab1,RBM14
B08,Pab1_TAF15,Pab1,TAF15
B09,Pab1_TDP43,Pab1,TDP43
B10,Pab1_UBQ2,Pab1,UBQ2
C01,Pab1_DDX4,Pab1,DDX4
C02,Pab1_DYRK3,Pab1,DYRK3
C03,Pab1_ER-alpha,Pab1,ER-alpha
C04,Pab1_FUS,Pab1,FUS
C05,Pab1_HNRNPA1,Pab1,HNRNPA1
C06,Pab1_HSPB8,Pab1,HSPB8
C07,Pab1_RBM14,Pab1,RBM14
C08,Pab1_TAF15,Pab1,TAF15
C09,Pab1_TDP43,Pab1,TDP43
C10,Pab1_UBQ2,Pab1,UBQ2
E01,Pab1_DDX4,Pab1,DDX4
E02,Pab1_DYRK3,Pab1,DYRK3
E03,Pab1_ER-alpha,Pab1,ER-alpha
E04,Pab1_FUS,Pab1,FUS
E05,Pab1_HNRNPA1,Pab1,HNRNPA1
E06,Pab1_HSPB8,Pab1,HSPB8
E07,Pab1_RBM14,Pab1,RBM14
E08,Pab1_TAF15,Pab1,TAF15
E09,Pab1_TDP43,Pab1,TDP43
E10,Pab1_UBQ2,Pab1,UBQ2
F01,Pab1_DDX4,Pab1,DDX4
F02,Pab1_DYRK3,Pab1,DYRK3
F03,Pab1_ER-alpha,Pab1,ER-alpha
F04,Pab1_FUS,Pab1,FUS
F05,Pab1_HNRNPA1,Pab1,HNRNPA1
F06,Pab1_HSPB8,Pab1,HSPB8
F07,Pab1_RBM14,Pab1,RBM14
F08,Pab1_TAF15,Pab1,TAF15
F09,Pab1_TDP43,Pab1,TDP43
F10,Pab1_UBQ2,Pab1,UBQ2
